№,Секунда ,Микросекунда
1,48,684740
2,48,700015
3,48,719764
4,48,735042
5,48,754762
6,48,774636
7,48,789700
8,48,809812
9,48,834789
10,48,854521
11,48,874980
12,48,894768
13,48,914908
14,48,934652
15,48,954989
16,48,975133
17,48,994769
18,49,14994
19,49,35014
20,49,54764
21,49,74625
22,49,95425
23,49,115275
24,49,134794
25,49,154644
26,49,174633
27,49,194798
28,49,215025
29,49,231086
30,49,255237
31,49,274968
32,49,294993
33,49,314862
34,49,335080
35,49,354763
36,49,374644
37,49,394620
38,49,414744
39,49,429947
40,49,449587
41,49,464772
42,49,479928
43,49,499784
44,49,514997
45,49,534816
46,49,549917
47,49,566350
48,49,584893
49,49,605439
50,49,621306
51,49,640107
52,49,660199
53,49,674797
54,49,690895
55,49,706737
56,49,723768
57,49,740173
58,49,762993
59,49,783471
60,49,803944
61,49,824224
62,49,844713
63,49,864883
64,49,884949
65,49,904869
66,49,924599
67,49,939899
68,49,959673
69,49,974933
70,49,994513
71,50,15059
72,50,34873
73,50,50534
74,50,69185
75,50,84883
76,50,100013
77,50,119798
78,50,139666
79,50,155101
80,50,172211
81,50,190479
82,50,209490
83,50,224911
84,50,242425
85,50,260171
86,50,279731
87,50,296138
88,50,314507
89,50,334463
90,50,354576
91,50,374574
92,50,394508
93,50,414974
94,50,434895
95,50,454724
96,50,471783
97,50,490025
98,50,510828
99,50,531040
100,50,551971
101,50,572806
102,50,593471
103,50,614229
104,50,635151
105,50,654864
106,50,674685
107,50,694714
108,50,714283
109,50,735030
110,50,755096
111,50,774653
112,50,794696
113,50,814613
114,50,835021
115,50,854971
116,50,874999
117,50,895138
118,50,914931
119,50,934998
120,50,954999
121,50,975039
122,50,995046
123,51,14926
124,51,34945
125,51,55284
126,51,75317
127,51,94830
128,51,115141
129,51,135012
130,51,155044
131,51,175190
132,51,194783
133,51,215325
134,51,235152
135,51,251263
136,51,274936
137,51,294963
138,51,315004
139,51,335031
140,51,354946
141,51,374903
142,51,394809
143,51,414909
144,51,434971
145,51,454961
146,51,474995
147,51,494865
148,51,515218
149,51,531234
150,51,554588
151,51,575329
152,51,595031
153,51,614701
154,51,629933
155,51,655130
156,51,675016
157,51,694606
158,51,715132
159,51,734913
160,51,754767
161,51,774938
162,51,794886
163,51,815519
164,51,834998
165,51,855037
166,51,874980
167,51,895027
168,51,915014
169,51,935035
170,51,954944
171,51,975010
172,51,995282
173,52,15167
174,52,35006
175,52,55022
176,52,74906
177,52,95149
178,52,115185
179,52,135144
180,52,155035
181,52,175011
182,52,194875
183,52,215290
184,52,234953
185,52,254904
186,52,274983
187,52,295275
188,52,315133
189,52,335462
190,52,355304
191,52,374956
192,52,395290
193,52,415112
194,52,435144
195,52,454969
196,52,474947
197,52,494921
198,52,514920
199,52,535048
200,52,554941
201,52,575278
202,52,595072
203,52,615263
204,52,635160
205,52,655164
206,52,675161
207,52,694850
208,52,714957
209,52,735138
210,52,754966
211,52,775407
212,52,795212
213,52,815243
214,52,835201
215,52,854829
216,52,875132
217,52,895066
218,52,915216
219,52,934877
220,52,955251
221,52,975183
222,52,995039
223,53,14796
224,53,34656
225,53,54900
226,53,75236
227,53,94736
228,53,110249
229,53,134833
230,53,154607
231,53,174784
232,53,194906
233,53,215099
234,53,235039
235,53,254996
236,53,274749
237,53,294711
238,53,314994
239,53,334784
240,53,354844
241,53,375157
242,53,394879
243,53,415150
244,53,435131
245,53,455159
246,53,474832
247,53,494828
248,53,514643
249,53,535087
250,53,554858
251,53,574909
252,53,595058
253,53,615197
254,53,635242
255,53,654940
256,53,675049
257,53,695107
258,53,715185
259,53,734805
260,53,754926
261,53,775013
262,53,794927
263,53,815219
264,53,835187
265,53,854688
266,53,874965
267,53,895043
268,53,915036
269,53,935238
270,53,955165
271,53,974938
272,53,995072
273,54,15086
274,54,35147
275,54,54895
276,54,74999
277,54,94865
278,54,115067
279,54,134980
280,54,154627
281,54,175191
282,54,195184
283,54,215201
284,54,235256
285,54,254724
286,54,274944
287,54,294852
288,54,314754
289,54,335207
290,54,354790
291,54,374596
292,54,395145
293,54,415183
294,54,435188
295,54,454982
296,54,475259
297,54,494857
298,54,515126
299,54,535183
300,54,555251
